the total number of data points: 150
Dimensions: 4
K: 3
Total Iterations: 3
Final Mean for each Cluster: 
[[250.3 170.9  73.2  12.2]
 [358.9 167.2 267.7  87.5]
 [267.3 120.  222.9  80.1]]
SSE Score: 0.0
Final Clustering: 
1 => Cluster 0
2 => Cluster 0
3 => Cluster 0
4 => Cluster 0
5 => Cluster 0
6 => Cluster 0
7 => Cluster 0
8 => Cluster 0
9 => Cluster 0
10 => Cluster 0
11 => Cluster 0
12 => Cluster 0
13 => Cluster 0
14 => Cluster 0
15 => Cluster 0
16 => Cluster 0
17 => Cluster 0
18 => Cluster 0
19 => Cluster 0
20 => Cluster 0
21 => Cluster 0
22 => Cluster 0
23 => Cluster 0
24 => Cluster 0
25 => Cluster 0
26 => Cluster 0
27 => Cluster 0
28 => Cluster 0
29 => Cluster 0
30 => Cluster 0
31 => Cluster 0
32 => Cluster 0
33 => Cluster 0
34 => Cluster 0
35 => Cluster 0
36 => Cluster 0
37 => Cluster 0
38 => Cluster 0
39 => Cluster 0
40 => Cluster 0
41 => Cluster 0
42 => Cluster 0
43 => Cluster 0
44 => Cluster 0
45 => Cluster 0
46 => Cluster 0
47 => Cluster 0
48 => Cluster 0
49 => Cluster 0
50 => Cluster 0
51 => Cluster 2
52 => Cluster 1
53 => Cluster 2
54 => Cluster 1
55 => Cluster 1
56 => Cluster 1
57 => Cluster 1
58 => Cluster 1
59 => Cluster 1
60 => Cluster 1
61 => Cluster 1
62 => Cluster 1
63 => Cluster 1
64 => Cluster 1
65 => Cluster 1
66 => Cluster 1
67 => Cluster 1
68 => Cluster 1
69 => Cluster 1
70 => Cluster 1
71 => Cluster 1
72 => Cluster 1
73 => Cluster 1
74 => Cluster 1
75 => Cluster 1
76 => Cluster 1
77 => Cluster 1
78 => Cluster 2
79 => Cluster 1
80 => Cluster 1
81 => Cluster 1
82 => Cluster 1
83 => Cluster 1
84 => Cluster 1
85 => Cluster 1
86 => Cluster 1
87 => Cluster 1
88 => Cluster 1
89 => Cluster 1
90 => Cluster 1
91 => Cluster 1
92 => Cluster 1
93 => Cluster 1
94 => Cluster 1
95 => Cluster 1
96 => Cluster 1
97 => Cluster 1
98 => Cluster 1
99 => Cluster 1
100 => Cluster 1
101 => Cluster 2
102 => Cluster 1
103 => Cluster 2
104 => Cluster 2
105 => Cluster 2
106 => Cluster 2
107 => Cluster 1
108 => Cluster 2
109 => Cluster 2
110 => Cluster 2
111 => Cluster 2
112 => Cluster 2
113 => Cluster 2
114 => Cluster 1
115 => Cluster 1
116 => Cluster 2
117 => Cluster 2
118 => Cluster 2
119 => Cluster 2
120 => Cluster 1
121 => Cluster 2
122 => Cluster 1
123 => Cluster 2
124 => Cluster 1
125 => Cluster 2
126 => Cluster 2
127 => Cluster 1
128 => Cluster 1
129 => Cluster 2
130 => Cluster 2
131 => Cluster 2
132 => Cluster 2
133 => Cluster 2
134 => Cluster 1
135 => Cluster 2
136 => Cluster 2
137 => Cluster 2
138 => Cluster 2
139 => Cluster 1
140 => Cluster 2
141 => Cluster 2
142 => Cluster 2
143 => Cluster 1
144 => Cluster 2
145 => Cluster 2
146 => Cluster 2
147 => Cluster 1
148 => Cluster 2
149 => Cluster 2
150 => Cluster 1
Cluster 0
50
Cluster 1
61
Cluster 2
39
